ward,district,city
sơn thượng,sơn_hà,quảng_ngãi
sơn hạ,sơn_hà,quảng_ngãi
sơn_thành,sơn_hà,quảng_ngãi
sơn nham,sơn_hà,quảng_ngãi
sơn linh,sơn_hà,quảng_ngãi
sơn_giang,sơn_hà,quảng_ngãi
sơn cao,sơn_hà,quảng_ngãi
sơn_trung,sơn_hà,quảng_ngãi
sơn_hải,sơn_hà,quảng_ngãi
sơn_thuỷ,sơn_hà,quảng_ngãi
sơn kỳ,sơn_hà,quảng_ngãi
sơn ba,sơn_hà,quảng_ngãi
sơn bua,sơn_tây,quảng_ngãi
sơn mùa,sơn_tây,quảng_ngãi
sơn liên,sơn_tây,quảng_ngãi
sơn tân,sơn_tây,quảng_ngãi
sơn dung,sơn_tây,quảng_ngãi
sơn_long,sơn_tây,quảng_ngãi
sơn màu,sơn_tây,quảng_ngãi
sơn tinh,sơn_tây,quảng_ngãi
sơn lập,sơn_tây,quảng_ngãi
long_sơn,minh_long,quảng_ngãi
long mai,minh_long,quảng_ngãi
thanh an,minh_long,quảng_ngãi
long môn,minh_long,quảng_ngãi
long hiệp,minh_long,quảng_ngãi
chợ chùa,nghĩa_hành,quảng_ngãi
hành thuận,nghĩa_hành,quảng_ngãi
hành_trung,nghĩa_hành,quảng_ngãi
hành_dũng,nghĩa_hành,quảng_ngãi
hành nhân,nghĩa_hành,quảng_ngãi
hành_minh,nghĩa_hành,quảng_ngãi
hành đức,nghĩa_hành,quảng_ngãi
hành phước,nghĩa_hành,quảng_ngãi
hành thịnh,nghĩa_hành,quảng_ngãi
hành thiện,nghĩa_hành,quảng_ngãi
hành tín tây,nghĩa_hành,quảng_ngãi
hành tín đông,nghĩa_hành,quảng_ngãi
mộ_đức,mộ_đức,quảng_ngãi
đức_hoà,mộ_đức,quảng_ngãi
đức tân,mộ_đức,quảng_ngãi
đức phú,mộ_đức,quảng_ngãi
thắng_lợi,mộ_đức,quảng_ngãi
đức nhuận,mộ_đức,quảng_ngãi
đức hiệp,mộ_đức,quảng_ngãi
đức chánh,mộ_đức,quảng_ngãi
đức_minh,mộ_đức,quảng_ngãi
đức thạnh,mộ_đức,quảng_ngãi
đức phong,mộ_đức,quảng_ngãi
đức lân,mộ_đức,quảng_ngãi
phổ phong,thị_xã đức_phổ,quảng_ngãi
phổ nhơn,đức_phổ,quảng_ngãi
phổ_cường,thị_xã đức_phổ,quảng_ngãi
phổ khánh,đức_phổ,quảng_ngãi
ba_tơ,ba_tơ,quảng_ngãi
ba cung,ba_tơ,quảng_ngãi
ba_bích,ba_tơ,quảng_ngãi
ba điền,ba_tơ,quảng_ngãi
ba vinh,ba_tơ,quảng_ngãi
ba_thành,ba_tơ,quảng_ngãi
ba động,ba_tơ,quảng_ngãi
ba liên,ba_tơ,quảng_ngãi
ba dinh,ba_tơ,quảng_ngãi
ba_giang,ba_tơ,quảng_ngãi
ba khâm,ba_tơ,quảng_ngãi
ba trang,ba_tơ,quảng_ngãi
ba tô,ba_tơ,quảng_ngãi
ba lế,ba_tơ,quảng_ngãi
ba nam,ba_tơ,quảng_ngãi
ba ngạc,ba_tơ,quảng_ngãi
ba tiêu,ba_tơ,quảng_ngãi
ba_vì,ba_tơ,quảng_ngãi
ba xa,ba_tơ,quảng_ngãi
kroong,kon_tum,kon_tum
ngọk bay,kon_tum,kon_tum
vinh_quang,kon_tum,kon_tum
ia chim,kon_tum,kon_tum
đăk năng,kon_tum,kon_tum
đoàn_kết,kon_tum,kon_tum
đăk blà,kon_tum,kon_tum
chư hreng,kon_tum,kon_tum
đăk rơ wa,kon_tum,kon_tum
hoà_bình,kon_tum,kon_tum
đăk_glei,đắk glei,kon_tum
đăk pék,đắk glei,kon_tum
đăk plô,đắk glei,kon_tum
đăk man,đắk glei,kon_tum
đăk nhoong,đắk glei,kon_tum
đăk choong,đắk glei,kon_tum
xốp,đắk glei,kon_tum
mường hoong,đắk glei,kon_tum
ngọc linh,đắk glei,kon_tum
đăk_long,đắk glei,kon_tum
đăk kroong,đắk glei,kon_tum
đăk môn,đắk glei,kon_tum
plei kần,ngọc_hồi,kon_tum
đăk xú,ngọc_hồi,kon_tum
pờ y,ngọc_hồi,kon_tum
đăk ang,ngọc_hồi,kon_tum
đăk dục,ngọc_hồi,kon_tum
đăk nông,ngọc_hồi,kon_tum
đăk kan,ngọc_hồi,kon_tum
sa loong,ngọc_hồi,kon_tum
đăk_tô,đắk tô,kon_tum
tân_cảnh,đắk tô,kon_tum
diên bình,đắk tô,kon_tum
pô kô,đắk tô,kon_tum
đăk na,tu mơ rông,kon_tum
đăk sao,tu mơ rông,kon_tum
đăk rơ ông,tu mơ rông,kon_tum
đăk tờ kan,tu mơ rông,kon_tum
tu mơ rông,tu mơ rông,kon_tum
đăk_hà,tu mơ rông,kon_tum
đăk rơ nga,đắk tô,kon_tum
ngọk tụ,đắk tô,kon_tum
đăk trăm,đắk tô,kon_tum
_văn lem,đắk tô,kon_tum
kon đào,đắk tô,kon_tum
ngọk lây,tu mơ rông,kon_tum
măng ri,tu mơ rông,kon_tum
ngọk yêu,tu mơ rông,kon_tum
tê xăng,tu mơ rông,kon_tum
văn_xuôi,tu mơ rông,kon_tum
đăk nên,kon_plông,kon_tum
đăk ring,kon_plông,kon_tum
măng bút,kon_plông,kon_tum
đăk tăng,kon_plông,kon_tum
măng cành,kon_plông,kon_tum
măng đen,kon_plông,kon_tum
ngọk tem,kon_plông,kon_tum
pờ ê,kon_plông,kon_tum
hiếu,kon_plông,kon_tum
đăk rve,kon_rẫy,kon_tum
đăk pne,kon_rẫy,kon_tum
đăk kôi,kon_rẫy,kon_tum
đăk tơ lung,kon_rẫy,kon_tum
đăk ruồng,kon_rẫy,kon_tum
đăk tờ re,kon_rẫy,kon_tum
tân_lập,kon_rẫy,kon_tum
đăk_hà,đắk_hà,kon_tum
hà mòn,đắk_hà,kon_tum
đăk la,đắk_hà,kon_tum
đăk pxi,đắk_hà,kon_tum
đăk_long,đắk_hà,kon_tum
đăk ui,đắk_hà,kon_tum
đăk ngọk,đắk_hà,kon_tum
đăk hring,đắk_hà,kon_tum
đăk mar,đắk_hà,kon_tum
ngọk wang,đắk_hà,kon_tum
ngọk réo,đắk_hà,kon_tum
sa_thầy,sa_thầy,kon_tum
sa nhơn,sa_thầy,kon_tum
sa_sơn,sa_thầy,kon_tum
rờ kơi,sa_thầy,kon_tum
hơ moong,sa_thầy,kon_tum
sa nghĩa,sa_thầy,kon_tum
sa bình,sa_thầy,kon_tum
ia đal,ia h ' drai,kon_tum
mô rai,sa_thầy,kon_tum
ia dom,ia h ' drai,kon_tum
ia tơi,ia h ' drai,kon_tum
ya xiêr,sa_thầy,kon_tum
ya tăng,sa_thầy,kon_tum
ya ly,sa_thầy,kon_tum
nan,lý_sơn,quảng_ngãi
nhơn phú,quy nhơn,bình_định
trần quang diệu,quy nhơn,bình_định
đống_đa,quy nhơn,bình_định
hải_cảng,quy nhơn,bình_định
trần phú,quy nhơn,bình_định
thị nại,quy nhơn,bình_định
bùi_thị xuân,quy nhơn,bình_định
phước mỹ,quy nhơn,bình_định
quang_trung,quy nhơn,bình_định
ngô mây,quy nhơn,bình_định
nguyễn_văn cừ,quy nhơn,bình_định
ghềnh ráng,quy nhơn,bình_định
nhơn bình,quy nhơn,bình_định
nhơn lý,quy nhơn,bình_định
xã nhơn hội,quy nhơn,bình_định
xã nhơn hải,quy nhơn,bình_định
tam_quan,thị_xã hoài_nhơn,bình_định
hoài_châu,hoài_nhơn,bình_định
bồng_sơn,thị_xã hoài_nhơn,bình_định
hoài_đức,hoài_nhơn,bình_định
hoài_sơn,thị_xã hoài_nhơn,bình_định
hoài châu bắc,hoài_nhơn,bình_định
tam_quan bắc,hoài_nhơn,bình_định
hoài_phú,thị_xã hoài_nhơn,bình_định
hoài_hảo,hoài_nhơn,bình_định
tam_quan nam,thị_xã hoài_nhơn,bình_định
hoài thanh tây,hoài_nhơn,bình_định
hoài_thanh,hoài_nhơn,bình_định
hoài_hương,thị_xã hoài_nhơn,bình_định
hoài_hải,hoài_nhơn,bình_định
hoài_mỹ,hoài_nhơn,bình_định
hoài_tân,thị_xã hoài_nhơn,bình_định
hoài_xuân,hoài_nhơn,bình_định
bình_định,thị_xã an_nhơn,bình_định
nhơn phúc,an_nhơn,bình_định
nhơn khánh,an_nhơn,bình_định
đập đá,thị_xã an_nhơn,bình_định
